timestamp,pid,type,workingSetMB
2026-09-05T11:03:34.1588996-07:00,8340,utility,53.23
2026-09-05T11:03:34.1911113-07:00,45576,utility,19.72
2026-09-05T11:03:34.2144231-07:00,30008,renderer,82.7
2026-09-05T11:03:34.2264317-07:00,38120,renderer,679.86
2026-09-05T11:03:34.2389624-07:00,34092,renderer,30.12
2026-09-05T11:03:35.2169543-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:35.2293907-07:00,9168,gpu-process,633.09
2026-09-05T11:03:35.2404625-07:00,8340,utility,53.25
2026-09-05T11:03:35.2511191-07:00,45576,utility,19.72
2026-09-05T11:03:35.2646470-07:00,30008,renderer,82.7
2026-09-05T11:03:35.2775801-07:00,38120,renderer,677.27
2026-09-05T11:03:35.3294704-07:00,34092,renderer,30.12
2026-09-05T11:03:36.2357515-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:36.2512220-07:00,9168,gpu-process,633.09
2026-09-05T11:03:36.2663074-07:00,8340,utility,53.25
2026-09-05T11:03:36.2795415-07:00,45576,utility,19.72
2026-09-05T11:03:36.3165432-07:00,30008,renderer,82.7
2026-09-05T11:03:36.3282646-07:00,38120,renderer,680.6
2026-09-05T11:03:36.3384203-07:00,34092,renderer,30.12
2026-09-05T11:03:37.3541785-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:37.3658897-07:00,9168,gpu-process,631.59
2026-09-05T11:03:37.3789981-07:00,8340,utility,53.25
2026-09-05T11:03:37.3911618-07:00,45576,utility,19.72
2026-09-05T11:03:37.4017946-07:00,30008,renderer,82.7
2026-09-05T11:03:37.4152755-07:00,38120,renderer,681.1
2026-09-05T11:03:37.4214365-07:00,34092,renderer,30.12
2026-09-05T11:03:38.3473363-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:38.3612201-07:00,9168,gpu-process,631.49
2026-09-05T11:03:38.3638809-07:00,8340,utility,53.25
2026-09-05T11:03:38.3863252-07:00,45576,utility,19.72
2026-09-05T11:03:38.4118235-07:00,30008,renderer,82.7
2026-09-05T11:03:38.4285745-07:00,38120,renderer,681.23
2026-09-05T11:03:38.4573736-07:00,34092,renderer,30.12
2026-09-05T11:03:39.4355211-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:39.4459211-07:00,9168,gpu-process,631.52
2026-09-05T11:03:39.4580737-07:00,8340,utility,53.25
2026-09-05T11:03:39.4698800-07:00,45576,utility,19.72
2026-09-05T11:03:39.4811804-07:00,30008,renderer,82.7
2026-09-05T11:03:39.4915882-07:00,38120,renderer,678.24
2026-09-05T11:03:39.5043010-07:00,34092,renderer,30.12
2026-09-05T11:03:40.5914202-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:40.6102380-07:00,9168,gpu-process,623.53
2026-09-05T11:03:40.6272137-07:00,8340,utility,53.25
2026-09-05T11:03:40.6389295-07:00,45576,utility,19.72
2026-09-05T11:03:40.6509377-07:00,30008,renderer,82.7
2026-09-05T11:03:40.6607094-07:00,38120,renderer,678.44
2026-09-05T11:03:40.6722157-07:00,34092,renderer,30.12
2026-09-05T11:03:41.5995935-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:41.6083229-07:00,9168,gpu-process,626.52
2026-09-05T11:03:41.6816582-07:00,8340,utility,53.25
2026-09-05T11:03:41.7148417-07:00,45576,utility,19.72
2026-09-05T11:03:41.7225215-07:00,30008,renderer,82.7
2026-09-05T11:03:41.7336776-07:00,38120,renderer,678.62
2026-09-05T11:03:41.7458400-07:00,34092,renderer,30.12
2026-09-05T11:03:42.9688101-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:42.9797347-07:00,9168,gpu-process,626.5
2026-09-05T11:03:42.9930574-07:00,8340,utility,53.25
2026-09-05T11:03:43.0035489-07:00,45576,utility,19.72
2026-09-05T11:03:43.0165358-07:00,30008,renderer,82.7
2026-09-05T11:03:43.0410803-07:00,38120,renderer,678.88
2026-09-05T11:03:43.0534064-07:00,34092,renderer,30.12
2026-09-05T11:03:44.0675777-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:44.0837449-07:00,9168,gpu-process,626.5
2026-09-05T11:03:44.0984930-07:00,8340,utility,53.25
2026-09-05T11:03:44.1108146-07:00,45576,utility,19.72
2026-09-05T11:03:44.1266723-07:00,30008,renderer,82.7
2026-09-05T11:03:44.1347810-07:00,38120,renderer,678.71
2026-09-05T11:03:44.1511478-07:00,34092,renderer,30.12
2026-09-05T11:03:45.1835291-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:45.2038708-07:00,9168,gpu-process,624.25
2026-09-05T11:03:45.2148442-07:00,8340,utility,53.25
2026-09-05T11:03:45.2307486-07:00,45576,utility,19.72
2026-09-05T11:03:45.2414583-07:00,30008,renderer,82.7
2026-09-05T11:03:45.2594779-07:00,38120,renderer,678.72
2026-09-05T11:03:45.2960369-07:00,34092,renderer,30.12
2026-09-05T11:03:46.3410471-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:46.3522813-07:00,9168,gpu-process,624.24
2026-09-05T11:03:46.3643097-07:00,8340,utility,53.24
2026-09-05T11:03:46.3760056-07:00,45576,utility,19.72
2026-09-05T11:03:46.4160669-07:00,30008,renderer,82.7
2026-09-05T11:03:46.4275553-07:00,38120,renderer,678.94
2026-09-05T11:03:46.4567982-07:00,34092,renderer,30.12
2026-09-05T11:03:47.3988367-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:47.4082514-07:00,9168,gpu-process,624.24
2026-09-05T11:03:47.4191560-07:00,8340,utility,53.24
2026-09-05T11:03:47.4298408-07:00,45576,utility,19.72
2026-09-05T11:03:47.4411696-07:00,30008,renderer,82.7
2026-09-05T11:03:47.4512838-07:00,38120,renderer,678.94
2026-09-05T11:03:47.4632156-07:00,34092,renderer,30.12
2026-09-05T11:03:48.4348619-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:48.4471098-07:00,9168,gpu-process,624.24
2026-09-05T11:03:48.4773305-07:00,8340,utility,53.24
2026-09-05T11:03:48.5078220-07:00,45576,utility,19.72
2026-09-05T11:03:48.5400116-07:00,30008,renderer,82.7
2026-09-05T11:03:48.5523739-07:00,38120,renderer,678.62
2026-09-05T11:03:48.5648047-07:00,34092,renderer,30.12
2026-09-05T11:03:49.5156388-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:49.5264484-07:00,9168,gpu-process,624.24
2026-09-05T11:03:49.5367531-07:00,8340,utility,53.24
2026-09-05T11:03:49.5470004-07:00,45576,utility,19.72
2026-09-05T11:03:49.5611312-07:00,30008,renderer,82.7
2026-09-05T11:03:49.5733283-07:00,38120,renderer,678.64
2026-09-05T11:03:49.5852059-07:00,34092,renderer,30.12
2026-09-05T11:03:50.6590285-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:50.6699079-07:00,9168,gpu-process,624.26
2026-09-05T11:03:50.6794798-07:00,8340,utility,53.24
2026-09-05T11:03:50.6904091-07:00,45576,utility,19.72
2026-09-05T11:03:50.7004616-07:00,30008,renderer,82.7
2026-09-05T11:03:50.7117345-07:00,38120,renderer,678.64
2026-09-05T11:03:50.7220442-07:00,34092,renderer,30.12
2026-09-05T11:03:51.6324188-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:51.6425739-07:00,9168,gpu-process,624.26
2026-09-05T11:03:51.6543214-07:00,8340,utility,53.24
2026-09-05T11:03:51.6861111-07:00,45576,utility,19.72
2026-09-05T11:03:51.7072686-07:00,30008,renderer,82.7
2026-09-05T11:03:51.7617048-07:00,38120,renderer,678.64
2026-09-05T11:03:51.7793820-07:00,34092,renderer,30.12
2026-09-05T11:03:52.6752591-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:52.6845336-07:00,9168,gpu-process,624.26
